date;gforce;speed;AccX;AccY;AccZ;GyroX;GyroY;GyroZ
12/02/2020 11:16:59;1;10;0.70;-0.24;1.53;-80.12;-4.46;-7.15
12/02/2020 11:17:00;1;11;1.10;-0.74;1.35;-80.12;10.94;1.66
12/02/2020 11:17:03;1;13;0.93;-0.90;1.21;-80.00;-0.23;-4.97
12/02/2020 11:17:06;1;34;0.72;-0.74;1.52;-80.00;-5.54;-1.28
12/02/2020 11:17:07;1;36;0.69;-0.35;1.80;-79.88;3.04;2.45
12/02/2020 11:17:09;1;43;0.70;-0.71;1.60;-79.76;-5.60;-4.41
12/02/2020 11:17:10;1;47;0.45;-0.25;1.59;-79.63;9.18;16.21
12/02/2020 11:17:11;1;49;0.50;-0.68;1.45;-79.76;-4.00;0.54
12/02/2020 11:17:13;2;49;0.69;-0.37;1.91;-79.63;-4.44;-6.02
12/02/2020 11:17:14;1;48;0.68;-0.17;1.64;-79.76;4.92;5.75
12/02/2020 11:17:16;1;49;0.48;-0.42;1.31;-79.63;-0.95;3.13
12/02/2020 11:17:17;1;48;0.62;-0.43;1.12;-79.63;12.49;-0.10
12/02/2020 11:17:19;1;49;0.65;-0.40;1.66;-79.63;-8.89;-7.19
12/02/2020 11:17:20;1;49;0.59;-0.25;1.33;-79.63;3.49;4.60
12/02/2020 11:17:21;1;48;0.59;-0.68;1.36;-79.39;-10.60;-6.85
12/02/2020 11:17:23;1;50;0.48;-0.28;1.84;-79.39;3.63;4.81
12/02/2020 11:17:24;1;51;0.63;-0.32;1.56;-79.39;-2.32;-0.89
12/02/2020 11:17:26;1;50;0.59;-0.59;1.03;-79.63;-1.41;-19.56
12/02/2020 11:17:27;1;50;0.69;-0.35;1.50;-79.39;-4.89;-3.07
12/02/2020 11:17:29;1;51;0.65;-0.53;1.80;-79.27;-9.76;-7.60
12/02/2020 11:17:30;2;50;0.53;-0.44;1.93;-79.27;-0.51;-2.31
12/02/2020 11:17:33;1;50;0.54;-0.44;1.42;-79.15;-1.41;2.10
12/02/2020 11:17:34;1;49;0.59;-0.32;1.77;-78.90;-4.11;-6.63
12/02/2020 11:17:36;1;49;0.60;-0.27;1.71;-79.02;-2.64;-4.56
12/02/2020 11:17:37;1;49;0.55;-0.51;1.41;-79.15;-8.45;-7.55
12/02/2020 11:17:39;1;49;0.56;-0.56;1.73;-78.90;-13.79;-14.23
12/02/2020 11:17:40;1;49;0.56;-0.60;1.54;-78.78;-6.09;0.26
12/02/2020 11:17:41;1;49;0.43;-0.63;1.80;-78.90;-6.95;-6.88
12/02/2020 11:17:43;1;49;0.75;-0.27;1.47;-78.66;-3.18;-6.52
12/02/2020 11:17:44;1;49;0.70;-0.45;1.27;-78.78;11.43;5.56
12/02/2020 11:17:46;1;49;0.69;-0.23;1.73;-78.66;3.34;2.12
12/02/2020 11:17:47;1;50;0.48;-0.36;1.74;-78.53;0.14;4.97
12/02/2020 11:17:49;1;49;0.47;-0.47;1.36;-78.66;-2.62;-3.85
12/02/2020 11:17:50;1;49;0.54;-0.42;1.49;-78.66;2.79;3.24
12/02/2020 11:17:52;2;50;0.58;-0.39;1.92;-78.66;-3.02;-5.13
12/02/2020 11:17:53;1;49;0.63;-0.38;1.53;-78.41;-1.08;-1.62
12/02/2020 11:17:54;2;49;0.72;-0.36;2.05;-78.41;4.53;0.76
12/02/2020 11:17:56;1;50;0.54;-0.38;1.14;-78.66;-1.30;2.62
12/02/2020 11:17:57;1;50;0.63;-0.22;1.42;-78.66;6.08;7.27
12/02/2020 11:17:59;1;49;0.53;-0.51;1.49;-78.41;0.59;6.63
12/02/2020 11:18:00;1;47;0.56;-0.42;1.45;-78.29;-0.78;1.74
12/02/2020 11:18:02;1;39;0.63;-0.44;1.74;-78.41;-2.56;1.66
12/02/2020 11:18:03;1;38;0.84;-0.37;1.63;-78.29;-9.69;-11.39
12/02/2020 11:18:04;1;40;0.58;-0.29;1.30;-78.17;5.83;2.21
12/02/2020 11:18:06;1;45;0.65;-0.28;1.67;-78.17;1.82;2.14
12/02/2020 11:18:07;1;48;0.46;-0.49;1.22;-77.92;-3.34;-0.14
12/02/2020 11:18:09;1;49;0.54;-0.50;1.31;-78.05;-7.43;-6.79
12/02/2020 11:18:10;1;49;0.62;-0.30;1.64;-78.17;4.66;5.98
12/02/2020 11:18:12;1;49;0.61;-0.55;1.48;-78.05;-11.49;-7.15
12/02/2020 11:18:13;1;49;0.68;-0.35;1.68;-77.80;-8.49;-7.50
12/02/2020 11:18:14;1;49;0.64;-0.44;1.39;-77.92;-6.99;-4.12
